,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number
81,2023,Spring,2023-sp,AFST 243,Pan Africanism,,Non-Western Cultures,,,,,AFST,243
82,2023,Spring,2023-sp,AFST 254,Economic Systems in Africa,,Non-Western Cultures,,,,Social Sciences,AFST,254
83,2023,Spring,2023-sp,AFST 266,African Film and Society,,Non-Western Cultures,,,,,AFST,266
84,2023,Spring,2023-sp,AGCM 220,Communicating Agriculture,Advanced Composition,,,,,,AGCM,220
85,2023,Spring,2023-sp,AGED 360,Advanced Leadership Studies,,,,,,Social Sciences,AGED,360
86,2023,Spring,2023-sp,AIS 101,Intro to Amer Indian Studies,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AIS,101
87,2023,Spring,2023-sp,AIS 102,Contemp Issues in Ind Country,,US Minority Cultures,,,,Social Sciences,AIS,102
88,2023,Spring,2023-sp,AIS 140,Native Religious Traditions,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AIS,140
89,2023,Spring,2023-sp,AIS 165,Lang & Culture Native North Am,,Non-Western Cultures,,,,,AIS,165
90,2023,Spring,2023-sp,AIS 214,American Indian Law & Politics,,US Minority Cultures,,,,Social Sciences,AIS,214
91,2023,Spring,2023-sp,AIS 265,Intro to American Indian Lit,,US Minority Cultures,Literature & the Arts,,,,AIS,265
92,2023,Spring,2023-sp,AIS 275,Am Indian and Indigenous Film,,US Minority Cultures,Literature & the Arts,,,,AIS,275
93,2023,Spring,2023-sp,AIS 277,Encounters in Native America,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AIS,277
94,2023,Spring,2023-sp,AIS 278,Native American History,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AIS,278
95,2023,Spring,2023-sp,AIS 285,Indigenous Thinkers,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,AIS,285
96,2023,Spring,2023-sp,AIS 288,American Indians of Illinois,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AIS,288
97,2023,Spring,2023-sp,AIS 295,US Citizenship Comparatively,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AIS,295
98,2023,Spring,2023-sp,ANSC 110,Life With Animals and Biotech,,,,Life Sciences,,,ANSC,110
99,2023,Spring,2023-sp,ANSC 205,World Animal Resources,Advanced Composition,,,,,,ANSC,205
100,2023,Spring,2023-sp,ANSC 207,The Science of Pets and How to Care for Them,,,,Life Sciences,,,ANSC,207
101,2023,Spring,2023-sp,ANSC 250,Companion Animals in Society,,Western/Comparative Cultures,,,,,ANSC,250
102,2023,Spring,2023-sp,ANSC 255,Animal Ethics,,,Historical & Philosophical Perspectives,,,,ANSC,255
103,2023,Spring,2023-sp,ANSC 305,Human Animal Interactions,,,,,,Social Sciences,ANSC,305
104,2023,Spring,2023-sp,ANTH 101,Introduction to Anthropology,,Western/Comparative Cultures,,,,Social Sciences,ANTH,101
105,2023,Spring,2023-sp,ANTH 102,Human Origins and Culture,,,,,,Social Sciences,ANTH,102
106,2023,Spring,2023-sp,ANTH 103,Anthro in a Changing World,,Non-Western Cultures,,,,Social Sciences,ANTH,103
107,2023,Spring,2023-sp,ANTH 104,Talking Culture,,,,,,Social Sciences,ANTH,104
108,2023,Spring,2023-sp,ANTH 105,World Archaeology,,,Historical & Philosophical Perspectives,,,,ANTH,105
109,2023,Spring,2023-sp,ANTH 106,Hist Arch Americas,,US Minority Cultures,Historical & Philosophical Perspectives,,,,ANTH,106
110,2023,Spring,2023-sp,ANTH 108,Religion & Society in West I,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,ANTH,108
111,2023,Spring,2023-sp,ANTH 109,Religion & Society in West II,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,ANTH,109
112,2023,Spring,2023-sp,ANTH 110,Humanizing Science,,,,,,Social Sciences,ANTH,110
113,2023,Spring,2023-sp,ANTH 126,Humans and Animals - Food or Friend?,,,,,,Social Sciences,ANTH,126
114,2023,Spring,2023-sp,ANTH 130,History of South Asia,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,ANTH,130
115,2023,Spring,2023-sp,ANTH 143,Biology of Human Behavior,,,,Life Sciences,,,ANTH,143
116,2023,Spring,2023-sp,ANTH 157,The Archaeology of Illinois,,,Historical & Philosophical Perspectives,,,,ANTH,157
117,2023,Spring,2023-sp,ANTH 160,Race and Contemporary Social Issues,,US Minority Cultures,,,,,ANTH,160
118,2023,Spring,2023-sp,ANTH 165,Lang & Culture Native North Am,,Non-Western Cultures,,,,,ANTH,165
119,2023,Spring,2023-sp,ANTH 175,Archaeology and Pop Culture,,,Historical & Philosophical Perspectives,,,,ANTH,175
120,2023,Spring,2023-sp,ANTH 180,The Archaeology of Death,,Western/Comparative Cultures,,,,Social Sciences,ANTH,180
121,2023,Spring,2023-sp,ANTH 182,Latin American Cultures,,Non-Western Cultures,,,,Social Sciences,ANTH,182
122,2023,Spring,2023-sp,ANTH 209,"Food, Culture, and Society",,Western/Comparative Cultures,,,,Social Sciences,ANTH,209
123,2023,Spring,2023-sp,ANTH 210,Families in Global Perspective,,Non-Western Cultures,,,,Social Sciences,ANTH,210
124,2023,Spring,2023-sp,ANTH 221,Archaeology of South Asia,,Non-Western Cultures,,,,Social Sciences,ANTH,221
