Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,General Education
530,2023,Spring,2023-sp,GWS 103,Black Women in the Diaspora,,US Minority Cultures,,,,,GWS,103,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
531,2023,Spring,2023-sp,GWS 201,"Race, Gender & Power",,Western/Comparative Cultures,,,,,GWS,201,,,,Western/Comparative Cultures,,,,,,,,,Western/Comparative Cultures
532,2023,Spring,2023-sp,GWS 202,Sexualities,,Western/Comparative Cultures,,,,,GWS,202,,,,Western/Comparative Cultures,,,,,,,,,Western/Comparative Cultures
533,2023,Spring,2023-sp,GWS 215,US Citizenship Comparatively,,US Minority Cultures,Historical & Philosophical Perspectives,,,,GWS,215,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
534,2023,Spring,2023-sp,GWS 230,Latina/o Genders & Sexualities,,US Minority Cultures,,,,,GWS,230,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
535,2023,Spring,2023-sp,GWS 240,Gender & Sexuality in Greco-Roman Antiquity,,Western/Comparative Cultures,Literature & the Arts,,,,GWS,240,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
536,2023,Spring,2023-sp,GWS 245,"Wives, Workers and Witches in Pre-Modern Europe",,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,GWS,245,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
537,2023,Spring,2023-sp,GWS 250,Gender and Representation,,,,,,Social Sciences,GWS,250,,,,,,,,,,,,Social Sciences,Social Sciences
538,2023,Spring,2023-sp,GWS 262,Women's Lives,,,,,,Social Sciences,GWS,262,,,,,,,,,,,,Social Sciences,Social Sciences
539,2023,Spring,2023-sp,GWS 263,History of Medicine in the United States,,US Minority Cultures,Historical & Philosophical Perspectives,,,,GWS,263,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
540,2023,Spring,2023-sp,GWS 270,Sexuality and Literature,,,Literature & the Arts,,,,GWS,270,,,,,Literature & the Arts,,,,,,,,Literature & the Arts
541,2023,Spring,2023-sp,GWS 275,The Politics of Fashion,,US Minority Cultures,,,,,GWS,275,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
542,2023,Spring,2023-sp,GWS 282,Feminist and Queer Activisms,,US Minority Cultures,,,,,GWS,282,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
543,2023,Spring,2023-sp,GWS 285,US Gender History to 1877,,US Minority Cultures,Historical & Philosophical Perspectives,,,,GWS,285,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
544,2023,Spring,2023-sp,GWS 286,US Gender History Since 1877,,US Minority Cultures,Historical & Philosophical Perspectives,,,,GWS,286,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
545,2023,Spring,2023-sp,GWS 287,African-American Women,,US Minority Cultures,Historical & Philosophical Perspectives,,,,GWS,287,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
546,2023,Spring,2023-sp,GWS 288,Global Islam and Feminisms,,Non-Western Cultures,,,,,GWS,288,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
547,2023,Spring,2023-sp,GWS 305,"Theories of Race, Gender, and Sexuality",Advanced Composition,,,,,,GWS,305,Advanced Composition,,,,,,,,,,,,Advanced Composition
548,2023,Spring,2023-sp,GWS 356,Sex & Gender in Popular Media,,Western/Comparative Cultures,,,,,GWS,356,,,,Western/Comparative Cultures,,,,,,,,,Western/Comparative Cultures
549,2023,Spring,2023-sp,GWS 361,Gender and Women in East Asia,Advanced Composition,,,,,,GWS,361,Advanced Composition,,,,,,,,,,,,Advanced Composition
550,2023,Spring,2023-sp,GWS 380,Black Women Hist & Cultures,,Non-Western Cultures,,,,,GWS,380,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
551,2023,Spring,2023-sp,GWS 382,Black Women & Popular Culture,,US Minority Cultures,,,,,GWS,382,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
552,2023,Spring,2023-sp,GWS 392,Chicanas&Latinas: Self&Society,Advanced Composition,,,,,,GWS,392,Advanced Composition,,,,,,,,,,,,Advanced Composition
553,2023,Spring,2023-sp,GWS 498,Senior Seminar,Advanced Composition,,,,,,GWS,498,Advanced Composition,,,,,,,,,,,,Advanced Composition
554,2023,Spring,2023-sp,HDFS 105,Intro to Human Development,,,,,,Behavioral Sciences,HDFS,105,,,,,,,,,,,Behavioral Sciences,,Behavioral Sciences
555,2023,Spring,2023-sp,HDFS 120,Intro to Family Studies,,,,,,Social Sciences,HDFS,120,,,,,,,,,,,,Social Sciences,Social Sciences
556,2023,Spring,2023-sp,HDFS 140,Intro Gender & Women's Studies,,,,,,Social Sciences,HDFS,140,,,,,,,,,,,,Social Sciences,Social Sciences
557,2023,Spring,2023-sp,HDFS 143,Biology of Human Behavior,,,,Life Sciences,,,HDFS,143,,,,,,,,Life Sciences,,,,,Life Sciences
558,2023,Spring,2023-sp,HDFS 220,Families in Global Perspective,,Non-Western Cultures,,,,Social Sciences,HDFS,220,,Non-Western Cultures,,,,,,,,,,Social Sciences,"Social Sciences,Non-Western Cultures"
559,2023,Spring,2023-sp,HDFS 221,Asian Families in America,,US Minority Cultures,,,,Social Sciences,HDFS,221,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
560,2023,Spring,2023-sp,HDFS 225,Close Relationships,,,,,,Social Sciences,HDFS,225,,,,,,,,,,,,Social Sciences,Social Sciences
561,2023,Spring,2023-sp,HDFS 259,Motor Development and Control,,,,,,Behavioral Sciences,HDFS,259,,,,,,,,,,,Behavioral Sciences,,Behavioral Sciences
562,2023,Spring,2023-sp,HDFS 262,"Motor Develop, Growth & Form",,,,,,Behavioral Sciences,HDFS,262,,,,,,,,,,,Behavioral Sciences,,Behavioral Sciences
563,2023,Spring,2023-sp,HDFS 263,"Diversity in Recreation, Sport, and Tourism",,US Minority Cultures,,,,,HDFS,263,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
564,2023,Spring,2023-sp,HDFS 290,Intro to Research Methods,Advanced Composition,,,,,,HDFS,290,Advanced Composition,,,,,,,,,,,,Advanced Composition
565,2023,Spring,2023-sp,HDFS 322,US Latina and Latino Families,,US Minority Cultures,,,,,HDFS,322,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
566,2023,Spring,2023-sp,HDFS 330,Statistical Reasoning for Everyday Life,,,,,Quantitative Reasoning 2,,HDFS,330,,,,,,,,,Quantitative Reasoning 2,,,,Quantitative Reasoning 2
567,2023,Spring,2023-sp,HIST 100,Global History,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,100,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
568,2023,Spring,2023-sp,HIST 101,History Now!,,,Historical & Philosophical Perspectives,,,,HIST,101,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
569,2023,Spring,2023-sp,HIST 103,A History of Everything: The Big Bang to Big Data,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,103,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
570,2023,Spring,2023-sp,HIST 104,Black Music,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,104,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
571,2023,Spring,2023-sp,HIST 105,Latin America to Independence,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,105,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
572,2023,Spring,2023-sp,HIST 106,Modern Latin America,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,106,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
573,2023,Spring,2023-sp,HIST 111,History of Africa to 1800,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,111,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
574,2023,Spring,2023-sp,HIST 112,History of Africa from 1800,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,112,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
575,2023,Spring,2023-sp,HIST 120,East Asian Civilizations,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,120,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
576,2023,Spring,2023-sp,HIST 130,History of South Asia,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,130,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
577,2023,Spring,2023-sp,HIST 135,History of Islamic Middle East,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,135,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
578,2023,Spring,2023-sp,HIST 140,Western Worlds: Ancient and Medieval Societies from the Mediterranean to N. Europe (ACP),Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,140,Advanced Composition,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives"
579,2023,Spring,2023-sp,HIST 141,Western Worlds: Ancient and Medieval Societies from the Mediterranean to Northern Europe,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,141,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
580,2023,Spring,2023-sp,HIST 142,Modern Europe and the World,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,142,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
581,2023,Spring,2023-sp,HIST 143,Modern Europe and the World - ACP,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,143,Advanced Composition,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives"
582,2023,Spring,2023-sp,HIST 164,The Automobile,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,164,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
583,2023,Spring,2023-sp,HIST 168,A History of Judaism,Advanced Composition,,Historical & Philosophical Perspectives,,,,HIST,168,Advanced Composition,,,,,Historical & Philosophical Perspectives,,,,,,,"Advanced Composition,Historical & Philosophical Perspectives"
584,2023,Spring,2023-sp,HIST 170,US History to 1877-ACP,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,170,Advanced Composition,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives"
585,2023,Spring,2023-sp,HIST 171,US History to 1877,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,171,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
586,2023,Spring,2023-sp,HIST 172,US History Since 1877,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,172,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
587,2023,Spring,2023-sp,HIST 173,US History Since 1877-ACP,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,173,Advanced Composition,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives"
588,2023,Spring,2023-sp,HIST 174,"Black America, 1619-Present",,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,174,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
589,2023,Spring,2023-sp,HIST 202,American Environmental History,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,202,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
590,2023,Spring,2023-sp,HIST 203,Reacting to the Past,,,Historical & Philosophical Perspectives,,,,HIST,203,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
591,2023,Spring,2023-sp,HIST 205,Lived Experience in Latin America,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,205,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
592,2023,Spring,2023-sp,HIST 207,Digital Documentary Publishing,,,Historical & Philosophical Perspectives,,,,HIST,207,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
593,2023,Spring,2023-sp,HIST 211,History of Southern Africa,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,211,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
594,2023,Spring,2023-sp,HIST 212,History of Eastern Africa,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,212,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
595,2023,Spring,2023-sp,HIST 213,African Muslim Societies,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,213,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
596,2023,Spring,2023-sp,HIST 219,History of the Prison,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,219,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
597,2023,Spring,2023-sp,HIST 220,Traditional China,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,220,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
598,2023,Spring,2023-sp,HIST 221,Modern China,,Non-Western Cultures,,,,,HIST,221,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
599,2023,Spring,2023-sp,HIST 222,Chinese Thought and Culture,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,222,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
600,2023,Spring,2023-sp,HIST 226,Premodern Japanese History,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,226,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
601,2023,Spring,2023-sp,HIST 227,Modern Japanese History,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,227,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
602,2023,Spring,2023-sp,HIST 236,Madness and Modern Society,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,236,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
603,2023,Spring,2023-sp,HIST 241,History of Ancient Rome,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,241,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
604,2023,Spring,2023-sp,HIST 245,"Wives, Workers and Witches in Pre-Modern Europe",,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,245,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
605,2023,Spring,2023-sp,HIST 247,Medieval Europe,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,247,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
606,2023,Spring,2023-sp,HIST 252,The Holocaust,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,252,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
607,2023,Spring,2023-sp,HIST 253,Enlightenment to Existentialsm,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,253,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
608,2023,Spring,2023-sp,HIST 254,Vikings to Volvos: Scandinavia,,Western/Comparative Cultures,Literature & the Arts,,,,HIST,254,,,,Western/Comparative Cultures,Literature & the Arts,,,,,,,,"Western/Comparative Cultures,Literature & the Arts"
609,2023,Spring,2023-sp,HIST 255,British Isles to 1688,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,255,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
610,2023,Spring,2023-sp,HIST 256,Britain and World Since 1688,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,256,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
611,2023,Spring,2023-sp,HIST 257,"Terrorism, Past and Present",,,Historical & Philosophical Perspectives,,,,HIST,257,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
612,2023,Spring,2023-sp,HIST 258,20thC World to Midcentury,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,258,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
613,2023,Spring,2023-sp,HIST 259,20thC World from Midcentury,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,259,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
614,2023,Spring,2023-sp,HIST 260,History of Russia,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,260,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
615,2023,Spring,2023-sp,HIST 261,Intro Russian-Jewish Culture,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,261,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
616,2023,Spring,2023-sp,HIST 262,Zionism: A Global History,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,262,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
617,2023,Spring,2023-sp,HIST 263,History of Medicine in the United States,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,263,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
618,2023,Spring,2023-sp,HIST 264,Technology in Western Society,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,264,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
619,2023,Spring,2023-sp,HIST 265,Science in Western Culture,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,265,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
620,2023,Spring,2023-sp,HIST 268,Biology and Society from Darwin to the Human Genome,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,268,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
621,2023,Spring,2023-sp,HIST 269,Jewish History Since 1700,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,269,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
622,2023,Spring,2023-sp,HIST 270,United States History to 1815,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,270,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
623,2023,Spring,2023-sp,HIST 271,Nineteenth Century America,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,271,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
624,2023,Spring,2023-sp,HIST 272,Twentieth Century America,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,272,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
625,2023,Spring,2023-sp,HIST 273,Illinois History,,,Historical & Philosophical Perspectives,,,,HIST,273,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
626,2023,Spring,2023-sp,HIST 274,US Foreign Relations Since 1917,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,274,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
627,2023,Spring,2023-sp,HIST 275,Afro-American History to 1877,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,275,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
628,2023,Spring,2023-sp,HIST 276,Afro-American Hist Since 1877,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,276,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
629,2023,Spring,2023-sp,HIST 277,Encounters in Native America,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,277,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
630,2023,Spring,2023-sp,HIST 278,Native American History,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,278,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
631,2023,Spring,2023-sp,HIST 279,Mexican-American History,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,279,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
632,2023,Spring,2023-sp,HIST 280,Caribbean Latina/o Migration,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,280,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
633,2023,Spring,2023-sp,HIST 281,Constructing Race in America,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,281,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
634,2023,Spring,2023-sp,HIST 283,Asian American History,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,283,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
635,2023,Spring,2023-sp,HIST 284,Af Am Urban Hist Since 1917,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,284,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
636,2023,Spring,2023-sp,HIST 285,US Gender History to 1877,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,285,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
637,2023,Spring,2023-sp,HIST 286,US Gender History Since 1877,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,286,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
638,2023,Spring,2023-sp,HIST 287,African-American Women,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,287,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
639,2023,Spring,2023-sp,HIST 288,American Indians of Illinois,,US Minority Cultures,Historical & Philosophical Perspectives,,,,HIST,288,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
640,2023,Spring,2023-sp,HIST 289,History of Religion in America,,,Historical & Philosophical Perspectives,,,,HIST,289,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
641,2023,Spring,2023-sp,HIST 290,"Religion, Violence & America",,Western/Comparative Cultures,,,,,HIST,290,,,,Western/Comparative Cultures,,,,,,,,,Western/Comparative Cultures
642,2023,Spring,2023-sp,HIST 293,The President and the People,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,293,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
643,2023,Spring,2023-sp,HIST 325,History of Korea,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,HIST,325,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
644,2023,Spring,2023-sp,HIST 327,Tokyo: Then and Now,Advanced Composition,Non-Western Cultures,,,,,HIST,327,Advanced Composition,Non-Western Cultures,,,,,,,,,,,"Advanced Composition,Non-Western Cultures"
645,2023,Spring,2023-sp,HIST 393,The World of Jewish Sepharad,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,HIST,393,,,,Western/Comparative Cultures,,Historical & Philosophical Perspectives,,,,,,,"Western/Comparative Cultures,Historical & Philosophical Perspectives"
646,2023,Spring,2023-sp,HIST 478,"The Black Freedom Movement, 1955-Present",Advanced Composition,,,,,,HIST,478,Advanced Composition,,,,,,,,,,,,Advanced Composition
647,2023,Spring,2023-sp,HIST 482,Slavery in the United States,Advanced Composition,,,,,,HIST,482,Advanced Composition,,,,,,,,,,,,Advanced Composition
648,2023,Spring,2023-sp,HIST 498,Research and Writing Seminar,Advanced Composition,,,,,,HIST,498,Advanced Composition,,,,,,,,,,,,Advanced Composition
