Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,General Education
87,2023,Spring,2023-sp,AIS 102,Contemp Issues in Ind Country,,US Minority Cultures,,,,Social Sciences,AIS,102,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
88,2023,Spring,2023-sp,AIS 140,Native Religious Traditions,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AIS,140,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
89,2023,Spring,2023-sp,AIS 165,Lang & Culture Native North Am,,Non-Western Cultures,,,,,AIS,165,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
90,2023,Spring,2023-sp,AIS 214,American Indian Law & Politics,,US Minority Cultures,,,,Social Sciences,AIS,214,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
91,2023,Spring,2023-sp,AIS 265,Intro to American Indian Lit,,US Minority Cultures,Literature & the Arts,,,,AIS,265,,,US Minority Cultures,,Literature & the Arts,,,,,,,,"US Minority Cultures,Literature & the Arts"
92,2023,Spring,2023-sp,AIS 275,Am Indian and Indigenous Film,,US Minority Cultures,Literature & the Arts,,,,AIS,275,,,US Minority Cultures,,Literature & the Arts,,,,,,,,"US Minority Cultures,Literature & the Arts"
93,2023,Spring,2023-sp,AIS 277,Encounters in Native America,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AIS,277,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
94,2023,Spring,2023-sp,AIS 278,Native American History,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AIS,278,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
95,2023,Spring,2023-sp,AIS 285,Indigenous Thinkers,,Non-Western Cultures,Historical & Philosophical Perspectives,,,,AIS,285,,Non-Western Cultures,,,,Historical & Philosophical Perspectives,,,,,,,"Non-Western Cultures,Historical & Philosophical Perspectives"
96,2023,Spring,2023-sp,AIS 288,American Indians of Illinois,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AIS,288,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
