Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,GeneralEducation
22,2023,Spring,2023-sp,AAS 402,Asian American Education,Advanced Composition,US Minority Cultures,Literature & the Arts,,,Social Sciences,AAS,402,,,,,,,,,,,,,US Minority Cultures
23,2023,Spring,2023-sp,ABE 152,Water in the Global Environment,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ABE,152,,Non-Western Cultures,,,,,Physical Sciences,,,,,,Non-Western Cultures
23,2023,Spring,2023-sp,ABE 152,Water in the Global Environment,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ABE,152,,,,,,,,,,,,,Physical Sciences
24,2023,Spring,2023-sp,ABE 232,Context in International Interventions,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ABE,232,,Non-Western Cultures,,,,,,,,,,Social Sciences,Social Sciences
24,2023,Spring,2023-sp,ABE 232,Context in International Interventions,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ABE,232,,,,,,,,,,,,,Non-Western Cultures
25,2023,Spring,2023-sp,ABE 469,Industry-Linked Design Project,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ABE,469,Advanced Composition,,,,,,,,,,,,Advanced Composition
26,2023,Spring,2023-sp,ACE 100,Introduction to Applied Microeconomics,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ACE,100,,,,,,,,,,,,Social Sciences,Social Sciences
27,2023,Spring,2023-sp,ACE 210,Environmental Economics,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ACE,210,,,,,,,,,,,,Social Sciences,Social Sciences
28,2023,Spring,2023-sp,ACE 251,The World Food Economy,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ACE,251,,Non-Western Cultures,,,,,,,,,,Social Sciences,Social Sciences
28,2023,Spring,2023-sp,ACE 251,The World Food Economy,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ACE,251,,,,,,,,,,,,,Non-Western Cultures
29,2023,Spring,2023-sp,ACE 254,Economic Systems in Africa,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ACE,254,,Non-Western Cultures,,,,,,,,,,Social Sciences,Social Sciences
29,2023,Spring,2023-sp,ACE 254,Economic Systems in Africa,Advanced Composition,Non-Western Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ACE,254,,,,,,,,,,,,,Non-Western Cultures
30,2023,Spring,2023-sp,ACE 255,Economics of Food and Environmental Justice,Advanced Composition,US Minority Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ACE,255,,,US Minority Cultures,,,,,,,,,Social Sciences,Social Sciences
30,2023,Spring,2023-sp,ACE 255,Economics of Food and Environmental Justice,Advanced Composition,US Minority Cultures,Literature & the Arts,Physical Sciences,,Social Sciences,ACE,255,,,,,,,,,,,,,US Minority Cultures
31,2023,Spring,2023-sp,ACE 262,Applied Statistical Methods and Data Analytics I,Advanced Composition,US Minority Cultures,Literature & the Arts,Physical Sciences,Quantitative Reasoning 1,Social Sciences,ACE,262,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
32,2023,Spring,2023-sp,ACES 102,Intro Sustainable Food Systems,Advanced Composition,US Minority Cultures,Literature & the Arts,Life Sciences,Quantitative Reasoning 1,Social Sciences,ACES,102,,,,,,,,Life Sciences,,,,,Life Sciences
33,2023,Spring,2023-sp,ACES 179,History of Ag in IL Since 1860,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,ACES,179,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,US Minority Cultures
33,2023,Spring,2023-sp,ACES 179,History of Ag in IL Since 1860,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,ACES,179,,,,,,,,,,,,,Historical & Philosophical Perspectives
34,2023,Spring,2023-sp,ADV 150,Introduction to Advertising,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,ADV,150,,,,,,,,,,,,Social Sciences,Social Sciences
35,2023,Spring,2023-sp,ADV 175,Diversity in Advertising,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,ADV,175,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
36,2023,Spring,2023-sp,ADV 200,Data Literacy,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,ADV,200,,,,,,,,,,Quantitative Reasoning 1,,,Quantitative Reasoning 1
37,2023,Spring,2023-sp,ADV 305,Advertising Technology and the Digital World,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,ADV,305,,,,,,,,,,,,Social Sciences,Social Sciences
38,2023,Spring,2023-sp,ADV 312,Advertising History,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,ADV,312,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
39,2023,Spring,2023-sp,ADV 393,Advertising and Society,Advanced Composition,US Minority Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,ADV,393,,,,,,,,,,,,Social Sciences,Social Sciences
40,2023,Spring,2023-sp,ADV 476,Global Advertising,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,ADV,476,,,,Western/Comparative Cultures,,,,,,,,Social Sciences,Social Sciences
40,2023,Spring,2023-sp,ADV 476,Global Advertising,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,ADV,476,,,,,,,,,,,,,Western/Comparative Cultures
41,2023,Spring,2023-sp,AE 443,Aerospace Systems Design II,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AE,443,Advanced Composition,,,,,,,,,,,,Advanced Composition
42,2023,Spring,2023-sp,AFAS 120,Intro to US Armed Forces,Advanced Composition,Western/Comparative Cultures,Historical & Philosophical Perspectives,Life Sciences,Quantitative Reasoning 1,Social Sciences,AFAS,120,,,,,,Historical & Philosophical Perspectives,,,,,,,Historical & Philosophical Perspectives
